2019-05-14 01:42:37.299  INFO 28033 --- [RMI TCP Connection(2)-127.0.0.1] inMXBeanRegistrar$SpringApplicationAdmin : Application shutdown requested.
2019-05-14 01:42:37.368  INFO 28033 --- [RMI TCP Connection(2)-127.0.0.1] o.s.s.c.ThreadPoolTaskScheduler          : Shutting down ExecutorService 'taskScheduler'
2019-05-14 01:42:37.369  INFO 28033 --- [RMI TCP Connection(2)-127.0.0.1] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2019-05-14 01:42:37.665  INFO 28033 --- [RMI TCP Connection(2)-127.0.0.1] org.mongodb.driver.connection            : Closed connection [connectionId{localValue:2, serverValue:60}] to localhost:27017 because the pool has been closed.
2019-05-14 01:43:50.604  INFO 10249 --- [main] c.k.middleware.MiddleWareApplication     : Starting MiddleWareApplication on adjetter-debian with PID 10249 (/root/eclipse-workspace/MiddleWareServer/target/classes started by root in /root/eclipse-workspace/MiddleWareServer)
2019-05-14 01:43:50.607  INFO 10249 --- [main] c.k.middleware.MiddleWareApplication     : No active profile set, falling back to default profiles: default
2019-05-14 01:43:52.015  INFO 10249 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data repositories in DEFAULT mode.
2019-05-14 01:43:52.070  INFO 10249 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 50ms. Found 5 repository interfaces.
2019-05-14 01:43:52.735  INFO 10249 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2019-05-14 01:43:52.817  INFO 10249 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-05-14 01:43:52.818  INFO 10249 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.14]
